First_Name,Last_Name,Email_Address,Mobile_Number,Gender,Leave_Type,Leaves,Profile,Echelon,Date_Created,Leave_Request_Date
Palitha,Kakulandara,palitha_kkl@gmail.com,0701234567,Male,Medical,3,image-1727595112220-test-male-doctor-avatar.jpg,Doctor - MO,Sun Sep 29 2024 01:01:52 GMT+0530 (India Standard Time),-
Kumari,Fernando,kumari_fer@gmail.com,0709876543,Female,Casual,15,image-1727598006146-test-female-doctor-avatar.jpeg,Doctor - RMO,Sun Sep 29 2024 01:50:06 GMT+0530 (India Standard Time),-
Ayanthi,Weerakoon,ayanthiweerakoon@gmail.com,0770548400,Female,Medical,14,image-1727665851513-test-female-doctor-avatar.jpeg,Doctor - MO,Mon Sep 30 2024 08:40:53 GMT+0530 (India Standard Time),-
Nihal,Hettige,nih.hettige@yahoo.com,0775600867,Male,Casual,20,image-1727748677409-test-male-doctor-avatar.jpg,Doctor - RMO,Tue Oct 01 2024 07:41:17 GMT+0530 (India Standard Time),-
Hansika,Warnakoolasuriya,hansika.warnakoolasuriya77@outlook.com,0776155827,Female,Medical,9,image-1727916672178-update-test.jpg,Doctor - RMO,Thu Oct 03 2024 06:20:37 GMT+0530 (India Standard Time),Thu Oct 03 2024 12:17:59 GMT+0530 (India Standard Time)
Sakunthala,Dissanayake,saku_diss@gmail.com,0709991234,Female,Medical,20,image-1727601483756-test-female- major-staff-avatar.jpg,Nurse,Sun Sep 29 2024 02:48:04 GMT+0530 (India Standard Time),-
Lakshan,Perera,lakshan_perera@outlook.com,0776287139,Male,Medical,30,image-1727673019992-test-male-major-staff-avatar.jpg,Ambulance Driver,Mon Sep 30 2024 10:40:21 GMT+0530 (India Standard Time),-
Sudara,Karunathilaka,sudara_karuna@gmail.com,0774273154,Male,Medical,7,image-1727749073860-test-male-major-staff-avatar.jpg,Hospital Clerk,Tue Oct 01 2024 07:47:54 GMT+0530 (India Standard Time),-
Aravinda,Perera,aravind_perera@hotmail.com,0702019832,Male,Medical,4,image-1728193865638-test-male-major-staff-avatar.jpg,Ambulance Driver,Sun Oct 06 2024 11:21:05 GMT+0530 (India Standard Time),-
Lihini,Abeykoon,lihini_abeykoon@yahoo.com,0773576976,Female,Casual,14,image-1728194060782-test-female- major-staff-avatar.jpg,Dispenser,Sun Oct 06 2024 11:24:20 GMT+0530 (India Standard Time),-
Samantha,Alahakoon,samantha_alahakoon@gmail.com,0715303575,Female,Medical,27,image-1728194241731-test-female- major-staff-avatar.jpg,Hospital Clerk,Sun Oct 06 2024 11:27:21 GMT+0530 (India Standard Time),-
Daya,Wijesinghe,daya_wijesinghe@gmail.com,0751293636,Female,Medical,22,image-1728195753297-test-female- major-staff-avatar.jpg,Nurse,Sun Oct 06 2024 11:52:33 GMT+0530 (India Standard Time),-
Thilini,Jayampathi,thilini_jayampathi@gmail.com,0787153605,Female,Casual,20,image-1728195897228-test-female- major-staff-avatar.jpg,Nurse,Sun Oct 06 2024 11:54:57 GMT+0530 (India Standard Time),-
Saman,Perera,sam_perera@gmail.com,0706661234,Male,Casual,25,image-1727601732585-test-male-minor-staff-avatar.jpg,Attendant,Sun Sep 29 2024 02:52:12 GMT+0530 (India Standard Time),-
Chandima,Ratnayake,cb.ratnayake@outlook.com,0702422334,Female,Medical,21,image-1727797085984-update-test.jpg,Attendant,Tue Oct 01 2024 08:03:00 GMT+0530 (India Standard Time),Tue Oct 01 2024 09:08:05 GMT+0530 (India Standard Time)
Samanthi,Bandara,samanthi.bandara@outlook.com,0774179491,Female,Medical,19,image-1727864966817-test-female-minor-staff-avatar.jpg,Labourer - Ordinary,Wed Oct 02 2024 03:59:27 GMT+0530 (India Standard Time),-
